content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,tweet_without_stopwords
thanks yesdok pelayanannya berkelas dan dokternya profesional gasembarangan,5,0.2,0.2,Positive,thanks yesdok pelayanannya berkelas dan dokternya profesional gasembarangan
"tidak salah lagi menggunakan yesdok, selain konsultasi bisa juga sampai pembelian obat dari aplikasi",5,0.0,0.0,Positive,"tidak salah lagi menggunakan yesdok, selain konsultasi bisa juga sampai pembelian obat dari aplikasi"
"dengan membaca artikel aja bisa dapat konsultasi gratis loh, membantu bangsa indonesia banget ni aplikasi. yesdok top bgt.",5,0.5,0.5,Positive,"dengan membaca artikel aja bisa dapat konsultasi gratis loh, membantu bangsa indonesia banget ni aplikasi. yesdok top bgt."
"aku kira cuma konsultasi online aja fiturnya, ternyata bisa sampai pembelian obat sekaligus. makaci ya yesdok",5,0.0,0.0,Positive,"aku kira cuma konsultasi online aja fiturnya, ternyata bisa sampai pembelian obat sekaligus. makaci ya yesdok"
"pandemi begini jadi lebih aware sama sakit ringan sekalipun. gimana ya soalnya lagi pandemi, tapi dengan yesdok semua keluhan langsung terjawab",5,0.25,0.25,Positive,"pandemi begini jadi lebih aware sama sakit ringan sekalipun. gimana ya soalnya lagi pandemi, tapi dengan yesdok semua keluhan langsung terjawab"
seneng banget bisa ngobrol langsung dengan dokter pilihan kita sendir. yesdok pelayanannya memang premium!!,5,0.0,0.0,Positive,seneng banget bisa ngobrol langsung dengan dokter pilihan kita sendir. yesdok pelayanannya memang premium!!
yesdok andalan keluarga banget. saat anak aku sakit dah ga takut lagi buat antri di rs. bisa konsultasi langsung dengan dokter 24 jam,5,0.0,0.0,Positive,yesdok andalan keluarga banget. saat anak aku sakit dah ga takut lagi buat antri di rs. bisa konsultasi langsung dengan dokter 24 jam
thanks yesdok pelayanannya premium dan kualitas dokternya profesional terpercaya!!,5,0.3125,0.2,Positive,thanks yesdok pelayanannya premium dan kualitas dokternya profesional terpercaya!!
obat jarang ada di apotek. sedangkan kita berobat di yes dok berharap ada kemudahan tanpa harus keluar rumah di masa pandemic ini.,1,0.0,0.0,Negative,obat jarang ada di apotek. sedangkan kita berobat di yes dok berharap ada kemudahan tanpa harus keluar rumah di masa pandemic ini.
jernih bgt sih ini aplikasinya,5,0.0,0.0,Positive,jernih bgt sih ini aplikasinya
solusi banget nih kalo gak enak badan malem malem,5,0.0,0.0,Positive,solusi banget nih kalo gak enak badan malem malem
pelayanan dan dokter nya sangat fast respon,5,0.2,0.6,Positive,pelayanan dan dokter nya sangat fast respon
mau book dokter juga cepet bgt loh,5,0.0,0.0,Positive,mau book dokter juga cepet bgt loh
semoga maju terus ya yesdok. suksess!,5,0.0,0.0,Positive,semoga maju terus ya yesdok. suksess!
sehat itu penting. ayo download aplikasi ini skrg juga,5,0.0,0.0,Positive,sehat itu penting. ayo download aplikasi ini skrg juga
inilah satu satunya aplikasi kesehatan yg aku punya,5,0.0,0.0,Positive,inilah satu satunya aplikasi kesehatan yg aku punya
dokternya disini kasih konsulnya bagus bgt,5,0.0,0.0,Positive,dokternya disini kasih konsulnya bagus bgt
tim yesdok dijamin kerja keras buat apk bagus kayak gini,5,0.0,0.0,Positive,tim yesdok dijamin kerja keras buat apk bagus kayak gini
udah lama download dan aku selalu pake ini,5,0.0,0.0,Positive,udah lama download dan aku selalu pake ini
mantep bgt disini dokternya pada baik baik,5,0.0,0.0,Positive,mantep bgt disini dokternya pada baik baik
ga nyesel deh ini udah download! asli pokonya.. respon cepat dan pelayanan ramah.. rekomendasi!!!,5,0.0,0.0,Positive,ga nyesel deh ini udah download! asli pokonya.. respon cepat dan pelayanan ramah.. rekomendasi!!!
"udah sampe nih obat aku, makasih yesdok :)",5,0.5,1.0,Positive,"udah sampe nih obat aku, makasih yesdok :)"
layanan konsul nya bagus bgt ya,5,0.0,0.0,Positive,layanan konsul nya bagus bgt ya
yesdok ini emang bagus bgt aku udah coba lama,5,0.0,0.0,Positive,yesdok ini emang bagus bgt aku udah coba lama
layanannya juara bangetttt broooo,5,0.0,0.0,Positive,layanannya juara bangetttt broooo
makasih bgt ya yesdok atas bantuannya,5,0.0,0.0,Positive,makasih bgt ya yesdok atas bantuannya
"tadi baru pesen obat, udah sampe aja. mantab memang👍🏻",5,0.0,0.0,Positive,"tadi baru pesen obat, udah sampe aja. mantab memang👍🏻"
yesdok emang juaranya kalo soal tanya tanya kesehatan,5,0.0,0.0,Positive,yesdok emang juaranya kalo soal tanya tanya kesehatan
kalau mau dokter terbaik. pake aplikasi ini aja,5,0.0,0.0,Positive,kalau mau dokter terbaik. pake aplikasi ini aja
thankyou yesdok aku bisa konsul sama dokter handal,5,0.0,0.0,Positive,thankyou yesdok aku bisa konsul sama dokter handal
aplikasi kesehatan terbaik menurut saya,5,0.0,0.0,Positive,aplikasi kesehatan terbaik menurut saya
masalah kesehatan jadi mudah banget nih sama yesdok!,5,0.0,0.0,Positive,masalah kesehatan jadi mudah banget nih sama yesdok!
mantap nih emang yesdok terus maju ya,5,0.0,0.0,Positive,mantap nih emang yesdok terus maju ya
keren abis dah ini mantep mantep,5,0.0,0.0,Positive,keren abis dah ini mantep mantep
"puas banget pakai yesdok, juaranya untuk masalah kesehatan ! mantap 👍",5,0.0,0.0,Positive,"puas banget pakai yesdok, juaranya untuk masalah kesehatan ! mantap 👍"
apps ini super bagus bgt loh,5,0.3333333333333333,0.6666666666666666,Positive,apps ini super bagus bgt loh
sangat membantu untuk berkonsultasi seputar kondisi kesehatan setiap individu. dokternya ramah dan baik,5,0.0,0.0,Positive,sangat membantu untuk berkonsultasi seputar kondisi kesehatan setiap individu. dokternya ramah dan baik
sangat membantu,5,0.0,0.0,Positive,sangat membantu
sangat puas dengan aplikasi ini,5,0.0,0.0,Positive,sangat puas dengan aplikasi ini
konsul sama dokter jadi gampang gt,5,0.0,0.0,Positive,konsul sama dokter jadi gampang gt
skrg berasa deket bgt sama dokter dokter,5,0.0,0.0,Positive,skrg berasa deket bgt sama dokter dokter
karena udah ada yesdok mau konsul sama dokter jadi gampang,5,0.0,0.0,Positive,karena udah ada yesdok mau konsul sama dokter jadi gampang
skrg mau beli obat ga perlu keluar deh,5,0.0,0.0,Positive,skrg mau beli obat ga perlu keluar deh
pake yesdok terus sih fix bgt ini,5,0.0,0.0,Positive,pake yesdok terus sih fix bgt ini
pake yesdok terus sih fix bgt ini,5,0.0,0.0,Positive,pake yesdok terus sih fix bgt ini
sangat membantu bgt ya apps ini,5,0.0,0.0,Positive,sangat membantu bgt ya apps ini
fix banget akan pake yesdok terus,5,0.0,0.0,Positive,fix banget akan pake yesdok terus
aplikasi ini juara bgt fix,5,0.0,0.0,Positive,aplikasi ini juara bgt fix
konsultasi nya bermanfaat bgt,5,0.0,0.0,Positive,konsultasi nya bermanfaat bgt
konsultasinya professional bgt loh ini aplikasi yesdok,5,0.1,0.1,Positive,konsultasinya professional bgt loh ini aplikasi yesdok
semoga aplikasi yesdok terus membaik ya👍,5,0.0,0.0,Positive,semoga aplikasi yesdok terus membaik ya👍
duh baru coba yesdok dan recommended bgt,5,-0.3,0.6,Positive,duh baru coba yesdok dan recommended bgt
aplikasi kesehatan no 1 deh,5,0.0,0.0,Positive,aplikasi kesehatan no 1 deh
selalu memberikan pelayanan terbaik nih si yesdok,5,0.0,0.0,Positive,selalu memberikan pelayanan terbaik nih si yesdok
makasi yesdok! ke dokter skrg lebih mudah tinggal video call,5,0.0,0.0,Positive,makasi yesdok! ke dokter skrg lebih mudah tinggal video call
buat anter obat juga cepet bgt loh,5,0.0,0.0,Positive,buat anter obat juga cepet bgt loh
indonesia sangat senang memiliki yesdok,5,0.0,0.0,Positive,indonesia sangat senang memiliki yesdok
semoga yesdok terus menjadi pilihan terbaik ya,5,0.0,0.0,Positive,semoga yesdok terus menjadi pilihan terbaik ya
konsultasi online kirain susah ternyata mudah,5,0.0,0.0,Positive,konsultasi online kirain susah ternyata mudah
ga pernah kecewa sama sekali selama pake yesdok,5,0.0,0.0,Positive,ga pernah kecewa sama sekali selama pake yesdok
"bermanfaat sekali terutama pandemic saat ini ""buktinya beli obat cepet banget sampenya di rumah ni"" alhamdulillah",5,0.0,0.0,Positive,"bermanfaat sekali terutama pandemic saat ini ""buktinya beli obat cepet banget sampenya di rumah ni"" alhamdulillah"
semoga appsnya semakin berjaya ya,5,0.0,0.0,Positive,semoga appsnya semakin berjaya ya
mantep nih apps keren bgt buat bantu konsul kesehatan,5,0.0,0.0,Positive,mantep nih apps keren bgt buat bantu konsul kesehatan
skrg ketemu dokter tinggal video call aja mantep,5,0.0,0.0,Positive,skrg ketemu dokter tinggal video call aja mantep
semoga yesdok selalu jadi pilihan semuanya,5,0.0,0.0,Positive,semoga yesdok selalu jadi pilihan semuanya
"aplikasinya minim banget bugnya, keren",5,0.0,0.0,Positive,"aplikasinya minim banget bugnya, keren"
konsul nya gampang bgt nih di yesdok!!,5,0.0,0.0,Positive,konsul nya gampang bgt nih di yesdok!!
"aplikasinya sangat bagus, sangat membatu",5,0.0,0.0,Positive,"aplikasinya sangat bagus, sangat membatu"
yesdok emang juara banget deh,5,0.0,0.0,Positive,yesdok emang juara banget deh
tampilan dan lain lainnya bagus bgt ya yesdok keren abis sih,5,0.0,0.0,Positive,tampilan dan lain lainnya bagus bgt ya yesdok keren abis sih
sangat membantu dan bermanfaat terimakasih,5,0.0,0.0,Positive,sangat membantu dan bermanfaat terimakasih
apps yesdok sangat membantu sekali.,5,0.0,0.0,Positive,apps yesdok sangat membantu sekali.
aplikasi yang super recommended banget deh,5,0.3333333333333333,0.6666666666666666,Positive,aplikasi yang super recommended banget deh
layanan yesdok banget nih,5,0.0,0.0,Positive,layanan yesdok banget nih
please ini keren banget,5,0.0,0.0,Positive,please ini keren banget
layanan konsultasi serta pengantaran obat cepat,5,0.0,0.0,Positive,layanan konsultasi serta pengantaran obat cepat
"aplikasinya sangat memuaskan , dokter standby 24 jam , aplikasi lancar",5,0.0,0.0,Positive,"aplikasinya sangat memuaskan , dokter standby 24 jam , aplikasi lancar"
sampe nya cepet bgt ini pesen obat disini. langsung sampe rumah pula,5,0.0,0.0,Positive,sampe nya cepet bgt ini pesen obat disini. langsung sampe rumah pula
artikelnya bagus bagus deh ini,5,0.0,0.0,Positive,artikelnya bagus bagus deh ini
aplikasi ini bener bener juara banget kalo soal pelayanan,5,0.0,0.0,Positive,aplikasi ini bener bener juara banget kalo soal pelayanan
baru tadi pesen obat eh udah sampe aja cepet banget sih ini parah.,5,0.0,0.0,Positive,baru tadi pesen obat eh udah sampe aja cepet banget sih ini parah.
"aplikasi ini sangat helpfull banget, dokternya standby 24 jam. memuaskan!!",5,0.0,0.0,Positive,"aplikasi ini sangat helpfull banget, dokternya standby 24 jam. memuaskan!!"
aplikasi kesehatan terbaik menurut saya dan keluarga dan teman teman,5,0.0,0.0,Positive,aplikasi kesehatan terbaik menurut saya dan keluarga dan teman teman
recommended bet buat semua yang mau konsul ga pake ribet sama sekali,5,0.0,0.0,Positive,recommended bet buat semua yang mau konsul ga pake ribet sama sekali
dokternya 24 jam dan online terus,5,0.0,0.0,Positive,dokternya 24 jam dan online terus
mau konsul mau cek dokter jadi gampang deh gak ribet sama sekali,5,0.0,0.0,Positive,mau konsul mau cek dokter jadi gampang deh gak ribet sama sekali
"dokter fast respon, good job tim yesdok!",5,0.5375,0.6000000000000001,Positive,"dokter fast respon, good job tim yesdok!"
juara banget yesdok untuk masalah kesehatan kita semuanya,5,0.0,0.0,Positive,juara banget yesdok untuk masalah kesehatan kita semuanya
apk ini bagus bgt ga ribet sama sekali,5,0.0,0.0,Positive,apk ini bagus bgt ga ribet sama sekali
sangat membantu sekali dokternya selalu ada 24 jam,5,0.0,0.0,Positive,sangat membantu sekali dokternya selalu ada 24 jam
semoga semua suka pakd yesdok ini yaa. aamiin,5,0.0,0.0,Positive,semoga semua suka pakd yesdok ini yaa. aamiin
ayo yang belum download yesdok wajib bgt skrg jg ya jangan ketinggalan,5,0.0,0.0,Positive,ayo yang belum download yesdok wajib bgt skrg jg ya jangan ketinggalan
"beli obat jadi gampang banget sekarang, makasih yesdok!!",5,0.0,0.0,Positive,"beli obat jadi gampang banget sekarang, makasih yesdok!!"
