content,score,sentiment_rating,wordCount,review_with_stopwords,wordCount_after_stopwords,review_stemmed
"aplikasi yg bermanfaat sekali untuk aku yg masih worry untuk datang ke rumah sakit . dengan aplikasi yesdok aku bisa konsultasi via video call bertatap muka dengan dokter terbaik. recommended banget sih , yuk pakai yesdok smart people.",5,Positive,40,aplikasi bermanfaat worry rumah sakit aplikasi yesdok konsultasi via video call bertatap muka dokter terbaik recommended yuk pakai yesdok smart people,21,aplikasi bermanfaat worri rumah sakit aplikasi yesdok konsultasi via video call bertatap muka dokter terbaik recommend yuk pakai yesdok smart peopl
aplikasi terbaik menurut saya sangat membantu dalam memperoleh informasi tentang kesehatan di era digital seperti sekarang ini. tanpa harus pergi ke dokter cukup lewat hape aja. dengan pelayanan terbaik dan dokter yang berpengalaman di bidang nya,5,Positive,38,aplikasi terbaik membantu memperoleh informasi kesehatan era digital pergi dokter hape aja pelayanan terbaik dokter berpengalaman bidang nya,18,aplikasi terbaik membantu memperoleh informasi kesehatan era digit pergi dokter hape aja pelayanan terbaik dokter berpengalaman bidang nya
"aplikasi yang sangat membantu karena respon cepat sekali, semoga terus memberikan yang terbaik ",5,Positive,14,aplikasi membantu respon cepat semoga terbaik,6,aplikasi membantu respon cepat semoga terbaik
apknya bagus.,4,Positive,3,apknya bagus,2,apknya bagu
aplikasi yang sangat membantu  terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan,5,Positive,13,aplikasi membantu terimakasih informasi seputar kesehatan,6,aplikasi membantu terimakasih informasi seputar kesehatan
"aplikasi keren..sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan,atau tanya2 juga boleh dong..,",5,Positive,26,aplikasi keren  rumah sakit konsultasi dokter online keluhan kesehatan tanya ,10,aplikasi keren rumah sakit konsultasi dokter onlin keluhan kesehatan tanya
cara chat dokter nya seperti apa ya saya kurang paham,3,Neutral,10,chat dokter nya ya paham,5,chat dokter nya ya paham
bagus sangat membantu,5,Positive,3,bagus membantu,2,bagu membantu
coba kasih option lain utk kerjasama apoteknya slain k24 biar lebih variatif,4,Positive,12,coba kasih option utk kerjasama apoteknya slain k biar variatif,10,coba kasih option utk kerjasama apoteknya slain k biar variatif
yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit,5,Positive,12,yesdok berguna masyarakat menjangkau rumah sakit,6,yesdok berguna masyarakat menjangkau rumah sakit
"saya pengguna lama, dan sudah beberapa kali konsultasi di yesdok. kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter. dan tiap ulang tahun selalu dapat konsultasi gratis  thank you.",5,Positive,36,pengguna kali konsultasi yesdok milih yesdok udah menerapkan video call dokter ulang konsultasi gratis thank you,16,pengguna kali konsultasi yesdok milih yesdok udah menerapkan video call dokter ulang konsultasi grati thank you
"wah bagus banget aplikasi ini,dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah.yesdok memang oke",5,Positive,22,bagus aplikasi aplikasi yesdok konsultasi dokter rumahyesdok oke,8,bagu aplikasi aplikasi yesdok konsultasi dokter rumahyesdok oke
bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya  good pokoknya,5,Positive,13,bagus aplikasi keluhan good pokoknya,5,bagu aplikasi keluhan good pokoknya
"aplikasi yang sangat membantu, banyak informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan. terimakasih yesdok",5,Positive,18,aplikasi membantu informasi mudah didapatkan bermanfaat kesehatan terimakasih yesdok,9,aplikasi membantu informasi mudah didapatkan bermanfaat kesehatan terimakasih yesdok
"saya terbantu sekali dengan adanya aplikasi ini, karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan, karena ada artikel dan berita ttg kesehatan, terima kasih yesdok",5,Positive,33,terbantu aplikasi konsultasi langsung dokter menambah wawasan ilmu ttg kesehatan artikel berita ttg kesehatan terima kasih yesdok,17,terbantu aplikasi konsultasi langsung dokter menambah wawasan ilmu ttg kesehatan artikel berita ttg kesehatan terima kasih yesdok
mantap dokternya baik semua,5,Positive,4,mantap dokternya,2,mantap dokternya
keren sekali aplikasi ini.. apalagi pada saat live dengan dr. ika ayu masalah anti aging .. jadi pengen bertanya langsung dengan dr. ika ayu di aplikasi yes dok .. sangat bermanfaat,5,Positive,32,keren aplikasi  live dr ika ayu anti aging  pengen langsung dr ika ayu aplikasi yes dok  bermanfaat,17,keren aplikasi live dr ika ayu anti age pengen langsung dr ika ayu aplikasi ye dok bermanfaat
bgs mudah cara msk nya ga ribet,5,Positive,7,bgs mudah msk nya ga ribet,6,bg mudah msk nya ga ribet
masya allah tabarakallah  bismillah semoga apk yesdok ini memberi kemanfaatan aamiin ,5,Positive,11,masya allah tabarakallah bismillah semoga apk yesdok kemanfaatan aamiin,9,masya allah tabarakallah bismillah semoga apk yesdok kemanfaatan aamiin
"aplikasinya sangat membantu sekali. banyak sekali informasi mengenai kesehatan. terimakasih yesdok, sukses terus",5,Positive,16,aplikasinya membantu informasi kesehatan terimakasih yesdok sukses,7,aplikasinya membantu informasi kesehatan terimakasih yesdok suks
"aplikasinya ringan tapi,manfaatnya besar. solusi konsul live tanya dokter terbaik",5,Positive,13,aplikasinya ringan manfaatnya solusi konsul live dokter terbaik,8,aplikasinya ringan manfaatnya solusi konsul live dokter terbaik
bagus,5,Positive,1,bagus,1,bagu
sangat membantu,5,Positive,2,membantu,1,membantu
appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak,5,Positive,10,appikasi bermanfaat berguna masyarakat,4,appikasi bermanfaat berguna masyarakat
wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat.  banyak informasi jg yang didapat ttg kesehatan. terbaikkkk yesdok,5,Positive,24,wahhh bagus membantu karna aplikasinya tanggap cepat akurat informasi jg ttg kesehatan terbaikkkk yesdok,14,wahhh bagu membantu karna aplikasinya tanggap cepat akurat informasi jg ttg kesehatan terbaikkkk yesdok
wah seru banget sih live yang diadain yesdok semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan. terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu ,5,Positive,41,seru live diadain yesdok bermanfaat relate wanita butuh edukasi kewanitaan maju sukses semoga sharing pengetahuan bermanfaat followers mu,18,seru live diadain yesdok bermanfaat relat wanita butuh edukasi kewanitaan maju suks semoga share pengetahuan bermanfaat follow mu
terimakasih,5,Positive,1,terimakasih,1,terimakasih
"nunggunya lama, akhirnya gagal konsultasi karena telat ngangkat telvon",1,Negative,10,nunggunya gagal konsultasi telat ngangkat telvon,6,nunggunya gagal konsultasi telat ngangkat telvon
mantap,5,Positive,1,mantap,1,mantap
mempermudah dalam hal kesehatan,5,Positive,4,mempermudah kesehatan,2,mempermudah kesehatan
aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman ,5,Positive,11,aplikasi bermanfaat sekalii respon cepat pokoknya bikin nyaman,8,aplikasi bermanfaat sekalii respon cepat pokoknya bikin nyaman
aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi. thank you yesdok !,5,Positive,19,aplikasi membantu konsultasi terkait kesehatan dihadapi thank you yesdok ,9,aplikasi membantu konsultasi terkait kesehatan dihadapi thank you yesdok
dr nya ramah dan pelayanannya cepat,4,Positive,6,dr nya ramah pelayanannya cepat,5,dr nya ramah pelayanannya cepat
"yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert, harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih",5,Positive,36,yesdok aplikasi kesehatan bermanfaat informasi kesehatan jg konsultasi langsung expert download follow account sosmed nya live sharing session informatif edukatif terimakasih,21,yesdok aplikasi kesehatan bermanfaat informasi kesehatan jg konsultasi langsung expert download follow account sosm nya live share session informatif edukatif terimakasih
aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren bgt!,5,Positive,18,aplikasi bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren ,15,aplikasi bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter keren
respon nyasigap dan bagus,5,Positive,4,respon nyasigap bagus,3,respon nyasigap bagu
gig,4,Positive,1,gig,1,gig
"masyaallah keren bgt iniii...knp br tau skrg?  app nya user friendly, dokternya ramah bgt, diagnosanya jelas, tdk membingungkan. baru nyoba ud langsung punya dokter favorit dong, yeeeeeay!  bisa konsultasi vcol gratisan jg lg  terima ksh yesdok, terima ksh jg dokter2ku, semoga makin berkah dan sehat selalu.. aamiin ",5,Positive,59,masyaallah keren iniii  knp br tau skrg  app nya user friendly dokternya ramah diagnosanya tdk membingungkan nyoba ud langsung dokter favorit yeeeeeay  konsultasi vcol gratisan jg lg terima ksh yesdok terima ksh jg dokterku semoga berkah sehat  aamiin,38,masyaallah keren iniii knp br tau skrg app nya user friendli dokternya ramah diagnosanya tdk membingungkan nyoba ud langsung dokter favorit yeeeeeay konsultasi vcol gratisan jg lg terima ksh yesdok terima ksh jg dokterku semoga berkah sehat aamiin
"yesdok aplikasi sangat membantu, 24 jam melayani konsultasi online bisa via telepon, chat ataupun video call keren banget. terimakasih yesdok sudah sangat membantu.",5,Positive,27,yesdok aplikasi membantu  jam melayani konsultasi online via telepon chat video call keren terimakasih yesdok membantu,16,yesdok aplikasi membantu jam melayani konsultasi onlin via telepon chat video call keren terimakasih yesdok membantu
sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan.. trima kasih yesdok,5,Positive,14,mudah gampang menerima informasi konsultasi kesehatan  trima kasih yesdok,9,mudah gampang menerima informasi konsultasi kesehatan trima kasih yesdok
tq aplikasi yesdok makasih atas konsultasinya,5,Positive,6,tq aplikasi yesdok makasih konsultasinya,5,tq aplikasi yesdok makasih konsultasinya
yes dok..aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan..,5,Positive,12,yes dok  aplikasi bermanfaat konsultasi kesehatan ,6,ye dok aplikasi bermanfaat konsultasi kesehatan
"membantu bangett, bisa konsultasi privat dan mendapatkan solusi",5,Positive,9,membantu bangett konsultasi privat solusi,5,membantu bangett konsultasi privat solusi
"bagus sekali saya sangat suka baik aplikasi nya maupun dokternya, sangat ramah dan baik",5,Positive,15,bagus suka aplikasi nya dokternya ramah,6,bagu suka aplikasi nya dokternya ramah
aplikasi bagus ckp membantu,5,Positive,4,aplikasi bagus ckp membantu,4,aplikasi bagu ckp membantu
"buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus, kadang apotik selain k24 ada yg blum support e-recipe,cba cari yg apotik lain aja.. saran nih lebih banyakin metode pembayaran kayak shopee,tokped dll misalnya.",5,Positive,42,konsul dgn dokter recommended resep ditebus kadang apotik k blum support erecipe cba cari apotik aja  saran banyakin metode pembayaran kayak shopee tokped dll,24,konsul dgn dokter recommend resep ditebu kadang apotik k blum support erecip cba cari apotik aja saran banyakin metod pembayaran kayak shope tokp dll
"pilihan menu nya lengkap n mudah dimengerti, event di sosmed nya menarik dan informative. recommended bgt utk dimiliki ",5,Positive,20,pilihan menu nya lengkap n mudah dimengerti event sosmed nya menarik informative recommended utk dimiliki,15,pilihan menu nya lengkap n mudah dimengerti event sosm nya menarik inform recommend utk dimiliki
"aplikasinya sangat membantu, tadi saya baru saja ikut live di ig banyak edukasii yanh didapat, host nya jg cakep ",5,Positive,21,aplikasinya membantu live ig edukasii yanh host nya jg cakep,10,aplikasinya membantu live ig edukasii yanh host nya jg cakep
alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya. coba deh pake aplikasi ini biar makin tahu soal penyakit juga.,4,Positive,26,alhamdulillah aplikasi memudahkan seputar kesehatan langsung dokternya coba pake aplikasi biar penyakit,12,alhamdulillah aplikasi memudahkan seputar kesehatan langsung dokternya coba pake aplikasi biar penyakit
keren yesdok bisa konsultasi banyak ilmu bermanfaat yang diberikan juga ..sering2 live ya apalagi menjelang ngabuburit sangat menambah wawasan seputar kesehatan,5,Positive,22,keren yesdok konsultasi ilmu bermanfaat  sering live ya menjelang ngabuburit menambah wawasan seputar kesehatan,14,keren yesdok konsultasi ilmu bermanfaat sere live ya menjelang ngabuburit menambah wawasan seputar kesehatan
"dari sejak hamil sampai sekarang tetap seneng konsultasi di yesdok. respon yg cepat dan analisa yg tepat. saya percayakan semuanya di yesdok karna pelayanannya cepat, tepat, dan akurat.",5,Positive,33,hamil seneng konsultasi yesdok respon cepat analisa percayakan yesdok karna pelayanannya cepat akurat,13,hamil seneng konsultasi yesdok respon cepat analisa percayakan yesdok karna pelayanannya cepat akurat
dokternya alhamdulillah baik bgt,5,Positive,4,dokternya alhamdulillah,2,dokternya alhamdulillah
