content;score;sentiment_rating;wordCount;tweet_without_stopwords;wordCount_after_stopwords
mantap.... nih aplikasi, sayangnya cuman satu, saya yang punya kamera depan yang memiliki lampu fles kamera, namun tidak ada fitur mengaktifkannya, semoga pihak yesdok nantinya mengadakan fitur ini😇😇😇;5;Positive;28;mantap.... nih aplikasi, sayangnya cuman satu, saya yang punya kamera depan yang memiliki lampu fles kamera, namun tidak ada fitur mengaktifkannya, semoga pihak yesdok nantinya mengadakan fitur ini😇😇😇;28
sangat bermanfaat👍;5;Positive;2;sangat bermanfaat👍;2
karna pelayanan nya baik;5;Positive;4;karna pelayanan nya baik;4
sangat membantu sekali aplikasinya;4;Positive;4;sangat membantu sekali aplikasinya;4
ini gimana sih mau masuk,udah bikin pin ditolak terus!!!!..😠😠😠😠😡😡😡😡;1;Negative;9;ini gimana sih mau masuk,udah bikin pin ditolak terus!!!!..😠😠😠😠😡😡😡😡;9
sejauh ini masih bagus...;5;Positive;4;sejauh ini masih bagus...;4
terimakasih yes dok;5;Positive;3;terimakasih yes dok;3
bagusss bngt;5;Positive;2;bagusss bngt;2
ok;5;Positive;1;ok;1
oke;5;Positive;1;oke;1
mohon bantuannya, saya tidak bisa mengakses rangkuman konsultasi serta resep obat yg di berikan di aplikasi yes dok maupun di email. terus untuk membuka rangkuman konsultasi lewat email yg dikirim melalui pdf itu dibutuhkan kata sandi, tapi saya sudah mengikuti instruksi untuk kata sandi sesuai dengn tanggal lahir sayam tetapi tetap tidak bisa di akses.;5;Positive;55;mohon bantuannya, saya tidak bisa mengakses rangkuman konsultasi serta resep obat yg di berikan di aplikasi yes dok maupun di email. terus untuk membuka rangkuman konsultasi lewat email yg dikirim melalui pdf itu dibutuhkan kata sandi, tapi saya sudah mengikuti instruksi untuk kata sandi sesuai dengn tanggal lahir sayam tetapi tetap tidak bisa di akses.;55
sangat baik;5;Positive;2;sangat baik;2
sangat membantu. beneran bisa video call dengan dokter.;5;Positive;8;sangat membantu. beneran bisa video call dengan dokter.;8
gk jelas, otp udah masuk udah bener tapi gk login login??;1;Negative;11;gk jelas, otp udah masuk udah bener tapi gk login login??;11
aplikasi yg sangat bagus untuk kita bisa berkonsultasi lgsg dgn dokter. sangat membantu bagi kesehatan dan kesuburan masyarakat. good job & success always 👍👍;5;Positive;24;aplikasi yg sangat bagus untuk kita bisa berkonsultasi lgsg dgn dokter. sangat membantu bagi kesehatan dan kesuburan masyarakat. good job & success always 👍👍;24
semoga dengan aplikasi ini banyak masyarakat terbantu tertuma pada masyrkat yg kurang mampu;5;Positive;13;semoga dengan aplikasi ini banyak masyarakat terbantu tertuma pada masyrkat yg kurang mampu;13
aplikasi nya bgus bs berbicara scara langsung sama dokter nya;5;Positive;10;aplikasi nya bgus bs berbicara scara langsung sama dokter nya;10
aplikasinya bagus..bermanfaat sekali buat tanya² seputar kesehatan,dan info² tentang kesehatan...;5;Positive;10;aplikasinya bagus..bermanfaat sekali buat tanya² seputar kesehatan,dan info² tentang kesehatan...;10
aplikasi yang sangat bermanfaat semenjak saya kenal aplikasi yesdok jadi ga bingung ga perlu khawatir kalau saya sakit karena di aplikasi yesdok ini bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan saya dan pertanyaannya bisa diajukan via telepon, sms, hingga panggilan video , keren bangett terimakasih yesdok🙏;5;Positive;49;aplikasi yang sangat bermanfaat semenjak saya kenal aplikasi yesdok jadi ga bingung ga perlu khawatir kalau saya sakit karena di aplikasi yesdok ini bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan saya dan pertanyaannya bisa diajukan via telepon, sms, hingga panggilan video , keren bangett terimakasih yesdok🙏;49
aplikasi yang sangat membantu untukku untuk bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan. yang lebih memudahkannya lagi, pertanyaan bisa diajukan via telepon, sms, hingga panggilan video. sukses selalu untuk yesdok;5;Positive;33;aplikasi yang sangat membantu untukku untuk bisa bertanya langsung kepada para dokter tentang berbagai keluhan kesehatan. yang lebih memudahkannya lagi, pertanyaan bisa diajukan via telepon, sms, hingga panggilan video. sukses selalu untuk yesdok;33
kenapa yaa rekaman vcall di yes dok gak kesimpan di riwayat? padahal sudah dari pagi tadi saya tunggu riwayat vcall tersebut untuk dipresentasikan sebagai tugas kuliah saya;4;Positive;27;kenapa yaa rekaman vcall di yes dok gak kesimpan di riwayat? padahal sudah dari pagi tadi saya tunggu riwayat vcall tersebut untuk dipresentasikan sebagai tugas kuliah saya;27
sangat membantu saya dikala saya sedang sakit, makasih yesdok terus maju dan berkembang;5;Positive;13;sangat membantu saya dikala saya sedang sakit, makasih yesdok terus maju dan berkembang;13
oke;5;Positive;1;oke;1
oke.bagus;5;Positive;1;oke.bagus;1
ok;5;Positive;1;ok;1
matre ah;1;Negative;2;matre ah;2
mang paat banget;5;Positive;3;mang paat banget;3
aplikasi yang sangat membantu sekali, bagus dan banyak manfaatnya, selain bisa konsultasi langsung via video call, kita juga bisa mencari rumah sakit yang ada di sekitar kita, jadi gak perlu bingung bingung cari rumah sakit terdekat, bila kita di berada di kota lain..;5;Positive;43;aplikasi yang sangat membantu sekali, bagus dan banyak manfaatnya, selain bisa konsultasi langsung via video call, kita juga bisa mencari rumah sakit yang ada di sekitar kita, jadi gak perlu bingung bingung cari rumah sakit terdekat, bila kita di berada di kota lain..;43
thanks untuk apk yesdok emang bener² membantu banget untuk memberikan informasi² kesehatan yg pasti sumbernya yg valid buat aku yg awam soal dunia kesehatan dan juga apk ini juga nyediain berbagai macam layanan mulai dari konsultasi dapat memberikan kemudahan bagiku yg perlu penanganan secara cepat dan praktis 😉;5;Positive;48;thanks untuk apk yesdok emang bener² membantu banget untuk memberikan informasi² kesehatan yg pasti sumbernya yg valid buat aku yg awam soal dunia kesehatan dan juga apk ini juga nyediain berbagai macam layanan mulai dari konsultasi dapat memberikan kemudahan bagiku yg perlu penanganan secara cepat dan praktis 😉;48
aplikasi yang sangat bagus,bisa konsultasi dengan dokter ,banyak promo spesial semoga semakin terdepan;5;Positive;13;aplikasi yang sangat bagus,bisa konsultasi dengan dokter ,banyak promo spesial semoga semakin terdepan;13
apk kesehatn terbaik dan dokter sgt membantu;5;Positive;7;apk kesehatn terbaik dan dokter sgt membantu;7
terlalu banyak minta data;1;Negative;4;terlalu banyak minta data;4
saya sangat berterimakasih dan sangat bangga dengan aplikasi ini , karena dapat membantu saya;1;Negative;14;saya sangat berterimakasih dan sangat bangga dengan aplikasi ini , karena dapat membantu saya;14
sangat membantu dalam menanyakan hal kesehatan;5;Positive;6;sangat membantu dalam menanyakan hal kesehatan;6
pake yesdok bisa vcall sama dokternya. & nukerin 3 poin bisa dapet 1x konsultasi. mantap bisa kapan ajaa dan dimana aja. yg penting ada koneksi internet.;5;Positive;26;pake yesdok bisa vcall sama dokternya. & nukerin 3 poin bisa dapet 1x konsultasi. mantap bisa kapan ajaa dan dimana aja. yg penting ada koneksi internet.;26
siipp;5;Positive;1;siipp;1
aplikasi ini sangat membantu dan bagus, tapi saran dari saya tolong tambah untuk psikolog biar orang gampang untuk konsultasinya;5;Positive;19;aplikasi ini sangat membantu dan bagus, tapi saran dari saya tolong tambah untuk psikolog biar orang gampang untuk konsultasinya;19
aplikasi yang bermanfaat untuk konsultasi;5;Positive;5;aplikasi yang bermanfaat untuk konsultasi;5
alhamdulillah luar biasa sekali mengikuti ig live dari @yesdok_id dgn topik yg menarik yaitu gangguan cemas bersama dokter yg super smart. banyak insights yg alu dapatkan seputar masalah kecemasan. thanks you so much.🥰🥰;5;Positive;33;alhamdulillah luar biasa sekali mengikuti ig live dari @yesdok_id dgn topik yg menarik yaitu gangguan cemas bersama dokter yg super smart. banyak insights yg alu dapatkan seputar masalah kecemasan. thanks you so much.🥰🥰;33
aplikasi yg bermanfaat sekali untuk aku yg masih worry untuk datang ke rumah sakit . dengan aplikasi yesdok aku bisa konsultasi via video call bertatap muka dengan dokter terbaik. recommended banget sih , yuk pakai yesdok smart people.;5;Positive;38;aplikasi yg bermanfaat sekali untuk aku yg masih worry untuk datang ke rumah sakit . dengan aplikasi yesdok aku bisa konsultasi via video call bertatap muka dengan dokter terbaik. recommended banget sih , yuk pakai yesdok smart people.;38
aplikasi terbaik menurut saya sangat membantu dalam memperoleh informasi tentang kesehatan di era digital seperti sekarang ini. tanpa harus pergi ke dokter cukup lewat hape aja. dengan pelayanan terbaik dan dokter yang berpengalaman di bidang nya;5;Positive;36;aplikasi terbaik menurut saya sangat membantu dalam memperoleh informasi tentang kesehatan di era digital seperti sekarang ini. tanpa harus pergi ke dokter cukup lewat hape aja. dengan pelayanan terbaik dan dokter yang berpengalaman di bidang nya;36
aplikasi yang sangat membantu karena respon cepat sekali, semoga terus memberikan yang terbaik 👍;5;Positive;14;aplikasi yang sangat membantu karena respon cepat sekali, semoga terus memberikan yang terbaik 👍;14
apknya bagus.👍;4;Positive;2;apknya bagus.👍;2
aplikasi yang sangat membantu ❤️ terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan;5;Positive;14;aplikasi yang sangat membantu ❤️ terimakasih banyak karena telah memberikan banyak informasi seputar kesehatan;14
aplikasi keren..sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan,atau tanya2 juga boleh dong..,;5;Positive;20;aplikasi keren..sebelum ke rumah sakit bisa konsultasi dulu sama dokter online jika ada keluhan soal kesehatan,atau tanya2 juga boleh dong..,;20
cara chat dokter nya seperti apa ya saya kurang paham;3;Neutral;10;cara chat dokter nya seperti apa ya saya kurang paham;10
bagus sangat membantu;5;Positive;3;bagus sangat membantu;3
coba kasih option lain utk kerjasama apoteknya slain k24 biar lebih variatif;4;Positive;12;coba kasih option lain utk kerjasama apoteknya slain k24 biar lebih variatif;12
yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit;5;Positive;12;yesdok berguna banget apalagi untuk masyarakat yang tidak bisa menjangkau rumah sakit;12
saya pengguna lama, dan sudah beberapa kali konsultasi di yesdok. kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter. dan tiap ulang tahun selalu dapat konsultasi gratis ❤️ thank you.;5;Positive;33;saya pengguna lama, dan sudah beberapa kali konsultasi di yesdok. kenapa milih yesdok karena udah lebih dulu menerapkan video call dengan dokter. dan tiap ulang tahun selalu dapat konsultasi gratis ❤️ thank you.;33
wah bagus banget aplikasi ini,dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah.yesdok memang oke👍;5;Positive;20;wah bagus banget aplikasi ini,dengan adanya aplikasi yesdok ini kita bisa konsultasi dengan dokter tanpa harus keluar rumah.yesdok memang oke👍;20
bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya 😁 good pokoknya;5;Positive;14;bagus banget aplikasi ini buat saya bisa tanya tentang keluhan saya 😁 good pokoknya;14
aplikasi yang sangat membantu, banyak informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan. terimakasih yesdok;5;Positive;16;aplikasi yang sangat membantu, banyak informasi yang mudah didapatkan dan sangat bermanfaat mengenai kesehatan. terimakasih yesdok;16
saya terbantu sekali dengan adanya aplikasi ini, karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan, karena ada artikel dan berita ttg kesehatan, terima kasih yesdok;5;Positive;30;saya terbantu sekali dengan adanya aplikasi ini, karena bisa konsultasi langsung dengan dokter dan juga menambah wawasan ilmu ttg kesehatan, karena ada artikel dan berita ttg kesehatan, terima kasih yesdok;30
mantap dokternya baik semua;5;Positive;4;mantap dokternya baik semua;4
keren sekali aplikasi ini.. apalagi pada saat live dengan dr. ika ayu masalah anti aging .. jadi pengen bertanya langsung dengan dr. ika ayu di aplikasi yes dok .. sangat bermanfaat;5;Positive;31;keren sekali aplikasi ini.. apalagi pada saat live dengan dr. ika ayu masalah anti aging .. jadi pengen bertanya langsung dengan dr. ika ayu di aplikasi yes dok .. sangat bermanfaat;31
👍🏻;5;Positive;1;👍🏻;1
bgs mudah cara msk nya ga ribet;5;Positive;7;bgs mudah cara msk nya ga ribet;7
masya allah tabarakallah 🥺❤️❤️ bismillah semoga apk yesdok ini memberi kemanfaatan aamiin 🤲❤️🕊️;5;Positive;13;masya allah tabarakallah 🥺❤️❤️ bismillah semoga apk yesdok ini memberi kemanfaatan aamiin 🤲❤️🕊️;13
aplikasinya sangat membantu sekali. banyak sekali informasi mengenai kesehatan. terimakasih yesdok, sukses terus;5;Positive;13;aplikasinya sangat membantu sekali. banyak sekali informasi mengenai kesehatan. terimakasih yesdok, sukses terus;13
aplikasinya ringan tapi,manfaatnya besar. solusi konsul live tanya dokter terbaik👍👍;5;Positive;10;aplikasinya ringan tapi,manfaatnya besar. solusi konsul live tanya dokter terbaik👍👍;10
bagus;5;Positive;1;bagus;1
sangat membantu;5;Positive;2;sangat membantu;2
appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak;5;Positive;10;appikasi yang sangat bermanfaat dan sangat berguna bagi masyarakat banyak;10
wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat. 🥰 banyak informasi jg yang didapat ttg kesehatan. terbaikkkk yesdok❤️;5;Positive;23;wahhh bagus banget dan sangat membantu karna aplikasinya sangat tanggap cepat dan akurat. 🥰 banyak informasi jg yang didapat ttg kesehatan. terbaikkkk yesdok❤️;23
wah seru banget sih live yang diadain yesdok semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan. terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu 🥰;5;Positive;41;wah seru banget sih live yang diadain yesdok semuanya bermanfaat dan relate banget untuk aku wanita yang butuh banyak edukasi masalah kewanitaan. terus maju dan sukses selalu semoga selalu memberikan sharing dan pengetahuan yang bermanfaat untuk kami para followers mu 🥰;41
terimakasih;5;Positive;1;terimakasih;1
nunggunya lama, akhirnya gagal konsultasi karena telat ngangkat telvon;1;Negative;9;nunggunya lama, akhirnya gagal konsultasi karena telat ngangkat telvon;9
mantap;5;Positive;1;mantap;1
mempermudah dalam hal kesehatan;5;Positive;4;mempermudah dalam hal kesehatan;4
aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman 😘😘;5;Positive;12;aplikasi yang sangat bermanfaat sekalii respon cepat sekali pokoknya bikin nyaman 😘😘;12
aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi. thank you yesdok !;5;Positive;18;aplikasi yang luar biasa sangat membantu untuk konsultasi terkait masalah kesehatan yang sedang dihadapi. thank you yesdok !;18
dr nya ramah dan pelayanannya cepat;4;Positive;6;dr nya ramah dan pelayanannya cepat;6
yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert, harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih;5;Positive;35;yesdok aplikasi kesehatan yg bermanfaat selain dapat informasi kesehatan jg bisa konsultasi langsung bersama expert, harus banget di download dan follow account sosmed nya karena sering ada live sharing session yg informatif dan edukatif terimakasih;35
aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter✨🥰 keren bgt!;5;Positive;17;aplikasi yg bermanfaat n wajib dimiliki karna informatif n memudahkan dlm mengatur jadwal konsul dokter✨🥰 keren bgt!;17
respon nyasigap dan bagus;5;Positive;4;respon nyasigap dan bagus;4
gig;4;Positive;1;gig;1
masyaallah keren bgt iniii...knp br tau skrg? 😭 app nya user friendly, dokternya ramah bgt, diagnosanya jelas, tdk membingungkan. baru nyoba ud langsung punya dokter favorit dong, yeeeeeay! 🥳 bisa konsultasi vcol gratisan jg lg 👏🤩 terima ksh yesdok, terima ksh jg dokter2ku, semoga makin berkah dan sehat selalu.. aamiin 🙏🥰;5;Positive;51;masyaallah keren bgt iniii...knp br tau skrg? 😭 app nya user friendly, dokternya ramah bgt, diagnosanya jelas, tdk membingungkan. baru nyoba ud langsung punya dokter favorit dong, yeeeeeay! 🥳 bisa konsultasi vcol gratisan jg lg 👏🤩 terima ksh yesdok, terima ksh jg dokter2ku, semoga makin berkah dan sehat selalu.. aamiin 🙏🥰;51
yesdok aplikasi sangat membantu, 24 jam melayani konsultasi online bisa via telepon, chat ataupun video call keren banget. terimakasih yesdok sudah sangat membantu.;5;Positive;23;yesdok aplikasi sangat membantu, 24 jam melayani konsultasi online bisa via telepon, chat ataupun video call keren banget. terimakasih yesdok sudah sangat membantu.;23
sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan.. trima kasih yesdok;5;Positive;13;sekarang lebih mudah dan gampang menerima informasi dan konsultasi kesehatan.. trima kasih yesdok;13
tq aplikasi yesdok makasih atas konsultasinya;5;Positive;6;tq aplikasi yesdok makasih atas konsultasinya;6
yes dok..aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan..;5;Positive;9;yes dok..aplikasi yang sangat bermanfaat untuk konsultasi tentang kesehatan..;9
membantu bangett, bisa konsultasi privat dan mendapatkan solusi;5;Positive;8;membantu bangett, bisa konsultasi privat dan mendapatkan solusi;8
bagus sekali saya sangat suka baik aplikasi nya maupun dokternya, sangat ramah dan baik;5;Positive;14;bagus sekali saya sangat suka baik aplikasi nya maupun dokternya, sangat ramah dan baik;14
aplikasi bagus ckp membantu;5;Positive;4;aplikasi bagus ckp membantu;4
buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus, kadang apotik selain k24 ada yg blum support e-recipe,cba cari yg apotik lain aja.. saran nih lebih banyakin metode pembayaran kayak shopee,tokped dll misalnya.;5;Positive;35;buat konsul dgn dokter recommended bgt nih resep juga bisa ditebus, kadang apotik selain k24 ada yg blum support e-recipe,cba cari yg apotik lain aja.. saran nih lebih banyakin metode pembayaran kayak shopee,tokped dll misalnya.;35
pilihan menu nya lengkap n mudah dimengerti, event di sosmed nya menarik dan informative. recommended bgt utk dimiliki 👍💖;5;Positive;19;pilihan menu nya lengkap n mudah dimengerti, event di sosmed nya menarik dan informative. recommended bgt utk dimiliki 👍💖;19
aplikasinya sangat membantu, tadi saya baru saja ikut live di ig banyak edukasii yanh didapat, host nya jg cakep ☺️;5;Positive;20;aplikasinya sangat membantu, tadi saya baru saja ikut live di ig banyak edukasii yanh didapat, host nya jg cakep ☺️;20
alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya. coba deh pake aplikasi ini biar makin tahu soal penyakit juga.;4;Positive;24;alhamdulillah ada aplikasi ini memudahkan saya untuk bertanya seputar kesehatan langsung pada dokternya. coba deh pake aplikasi ini biar makin tahu soal penyakit juga.;24
keren yesdok bisa konsultasi banyak ilmu bermanfaat yang diberikan juga ..sering2 live ya apalagi menjelang ngabuburit sangat menambah wawasan seputar kesehatan;5;Positive;21;keren yesdok bisa konsultasi banyak ilmu bermanfaat yang diberikan juga ..sering2 live ya apalagi menjelang ngabuburit sangat menambah wawasan seputar kesehatan;21
dari sejak hamil sampai sekarang tetap seneng konsultasi di yesdok. respon yg cepat dan analisa yg tepat. saya percayakan semuanya di yesdok karna pelayanannya cepat, tepat, dan akurat.;5;Positive;28;dari sejak hamil sampai sekarang tetap seneng konsultasi di yesdok. respon yg cepat dan analisa yg tepat. saya percayakan semuanya di yesdok karna pelayanannya cepat, tepat, dan akurat.;28
dokternya alhamdulillah baik bgt;5;Positive;4;dokternya alhamdulillah baik bgt;4
"utk ig.live x ini sy cukup puas dgn info2 khususnya utk kesehatan mulut & gigi. durasi ig.livenya klu boleh diperpjng lg smp sktr 1 jam dong, mengingat klu dr 1 pertnyan peserta di bahasnya memkn wkt juga jd berharapnya utk pertnyan2 lainnya juga bisa ikut di bahas. dgn bnyknya yg di bahas bisa menambah ""ilmu"" bg smua peserta ig.livenya, juga mgkn utk hostnya sndr. yesdok sering2 ya ngadain acara ig.live spt ini. trmksh ya yesdok, salam sehat & sukses selalu utk yesdok....";5;Positive;82;"utk ig.live x ini sy cukup puas dgn info2 khususnya utk kesehatan mulut & gigi. durasi ig.livenya klu boleh diperpjng lg smp sktr 1 jam dong, mengingat klu dr 1 pertnyan peserta di bahasnya memkn wkt juga jd berharapnya utk pertnyan2 lainnya juga bisa ikut di bahas. dgn bnyknya yg di bahas bisa menambah ""ilmu"" bg smua peserta ig.livenya, juga mgkn utk hostnya sndr. yesdok sering2 ya ngadain acara ig.live spt ini. trmksh ya yesdok, salam sehat & sukses selalu utk yesdok....";82
siang ini ikut live instagram di yesdok dapat ilmu yang banyak banget tentang bau mulut saat berpuasa, setiap pertanyaan dijawab dengan detail dan jelas;5;Positive;24;siang ini ikut live instagram di yesdok dapat ilmu yang banyak banget tentang bau mulut saat berpuasa, setiap pertanyaan dijawab dengan detail dan jelas;24
bisa konsultasi gratis cuma dengan baca artikel. dokternya ramah dan fast respon.;5;Positive;12;bisa konsultasi gratis cuma dengan baca artikel. dokternya ramah dan fast respon.;12
sangat ramah dan sangat baik pelayanan nya, sangat memuaskan.;5;Positive;9;sangat ramah dan sangat baik pelayanan nya, sangat memuaskan.;9
keren apps nya, bisa konsul secara online tp seperti tatap muka langsung dengan dokternya krn via vc, dpt info pas webinar, penjelasan dokternya pada saat webinar jg mudah di pahami. overall mantap lah;5;Positive;33;keren apps nya, bisa konsul secara online tp seperti tatap muka langsung dengan dokternya krn via vc, dpt info pas webinar, penjelasan dokternya pada saat webinar jg mudah di pahami. overall mantap lah;33
webinar bersama yes dok membuka wawasan dan pengetahuan baru perihal dunia kesehatan, terutama di masa saat ini. terima kasih yes dok;5;Positive;21;webinar bersama yes dok membuka wawasan dan pengetahuan baru perihal dunia kesehatan, terutama di masa saat ini. terima kasih yes dok;21
fast respon recommended thanks yesdok;5;Positive;5;fast respon recommended thanks yesdok;5
